iter	Passed	Remaining
535	5112	42579
536	5121	42568
537	5131	42555
538	5140	42543
539	5149	42530
540	5158	42515
541	5166	42497
542	5175	42484
543	5184	42465
544	5192	42447
545	5201	42431
546	5209	42413
547	5218	42395
548	5227	42381
549	5236	42366
550	5244	42349
551	5262	42407
552	5276	42434
553	5287	42431
554	5296	42416
555	5305	42403
556	5313	42386
557	5322	42372
558	5331	42354
559	5340	42342
560	5349	42330
561	5358	42313
562	5366	42296
563	5375	42280
564	5384	42268
565	5393	42251
566	5402	42238
567	5411	42224
568	5420	42213
569	5429	42195
570	5437	42179
571	5446	42165
572	5455	42146
573	5463	42131
574	5472	42113
575	5481	42098
576	5490	42085
577	5498	42068
578	5507	42051
579	5515	42034
580	5524	42018
581	5532	42001
582	5541	41985
583	5550	41967
584	5558	41952
585	5567	41937
586	5576	41920
587	5584	41906
588	5593	41891
589	5602	41873
590	5611	41860
591	5619	41843
592	5628	41829
593	5637	41813
594	5646	41800
595	5654	41783
596	5663	41770
597	5672	41753
598	5681	41740
599	5689	41725
600	5698	41708
601	5707	41693
602	5715	41678
603	5724	41663
604	5733	41648
605	5742	41634
606	5750	41616
607	5759	41603
608	5767	41588
609	5776	41574
610	5785	41557
611	5794	41543
612	5802	41527
613	5811	41513
614	5820	41500
615	5829	41484
616	5838	41471
617	5846	41455
618	5854	41438
619	5863	41420
620	5871	41404
621	5879	41386
622	5888	41373
623	5897	41359
624	5906	41346
625	5915	41331
626	5923	41316
627	5932	41302
628	5941	41287
629	5949	41270
630	5958	41257
631	5967	41243
632	5975	41227
633	5984	41212
634	5993	41197
635	6002	41186
636	6011	41171
637	6019	41154
638	6028	41141
639	6037	41129
640	6045	41112
641	6055	41102
642	6063	41086
643	6072	41075
644	6081	41060
645	6089	41045
646	6098	41030
647	6107	41014
648	6115	41001
649	6124	40984
650	6132	40968
651	6141	40956
652	6150	40942
653	6159	40929
654	6167	40914
655	6176	40901
656	6185	40886
657	6194	40873
658	6202	40859
659	6211	40843
660	6219	40827
661	6235	40860
662	6250	40890
663	6262	40893
